Job Title,Job Descriptions
Action PNCO,"Action PNCO role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Admin Aide,"Admin Aide role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Admin Assistant,"Admin Assistant role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Admin Asst I (Computer Operator I),"Admin Asst I (Computer Operator I) role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Admin Staff / Auditing,"Admin Staff / Auditing role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Administrative Aide,"Assist in managing and updating digital records and databases. Perform data encoding, validation, and reporting tasks. Support system-based administrative processes. Maintain documentation of workflows and digital records. Provide basic IT assistance for system users. Ensure compliance with data security and privacy standards. Assist in managing and updating digital records and databases. Perform data encoding, validation, and reporting tasks. Support system-based administrative processes. Provide basic IT assistance for office systems and users. Maintain documentation of digital operations and workflows. Ensure compliance with data security and privacy standards."
Administrative Aide (Clerk),"Maintain and organize digital records and files. Perform data entry, updates, and information processing using systems. Generate reports using spreadsheets or internal tools. Assist in system-based administrative workflows. Provide basic technical assistance for office systems. Ensure data accuracy and proper documentation.. Support coordination with IT staff for system issues.. Maintain digital records and system documentation. Assist in data encoding and information processing. Generate reports using system tools. Support IT-related administrative tasks and workflows. Ensure proper organization and retrieval of electronic files. Assist in troubleshooting minor system or data issues."
Administrative Aide III (Clerk I),"Perform data entry and encoding tasks with high typing speed and accuracy. Maintain and update digital records in databases or internal systems. Verify and validate encoded data to ensure accuracy and completeness. Utilize basic computer operation skills to manage files, systems, and applications. Generate reports using Excel or system-based tools. Organize and manage electronic files and documentation. Support administrative workflows through digital systems. Provide basic assistance for computer-related tasks and office applications. Ensure compliance with data privacy and record-keeping policies.. Encode, update, and manage data using information systems and databases. Maintain and organize digital records and files. Generate reports using spreadsheets and system tools. Assist in monitoring data accuracy and completeness. Provide basic technical assistance for office systems and applications. Support administrative workflows through digital platforms. Ensure compliance with data privacy and security policies."
Administrative Aide VI (Data Entry Machine Operator I),Perform high-volume data entry and data processing using internal systems. Validate and verify data accuracy before and after encoding. Maintain and update databases and digital records. Generate reports using Excel or system-generated tools. Perform data cleanup and formatting tasks. Monitor data workflows and resolve inconsistencies. Ensure compliance with data privacy and security policies. Coordinate with IT or operations teams for system-related concerns.. Perform high-volume data encoding and data processing tasks. Validate and clean data before system entry. Maintain database accuracy and integrity. Generate system reports and data summaries. Monitor data entry workflows and resolve inconsistencies. Support database updates and system maintenance.
Administrative Assistant,"Coordinates with various units to ensure the adherence to service level commitment (SLC) of all transactions. Coordinates scheduling of meetings and arranges related requirements (ex, food, drinks, projector, utility assistance ). Attends to telephone calls for, to, and, from head office units and branches, attends to inquiries of visitors. Receives sorts and files inter office and inter branch correspondence, reports and memoranda while ensuring confidentiality. Record various documents for signature and ensures these are sent to appropriate unit. Prepares request for office equipment supplies, reimbursements payment. Consolidated transactions volume reports. Consolidated updates branch performance related reports. Accountability, Adaptability, Analytical, Good Communication Skills, Critical thinking, Teamwork, Willingness to learn.. Manage and organize emails and calendar, including scheduling meetings and appointments. Process membership applications and maintain member records. Create and send weekly newsletters and member communications. Support board meetings by preparing agendas, materials, and follow-up items. Coordinate event communications, including reminders, registration lists, name badges, and surveys. Track event attendance and update internal spreadsheets and CRM systems. Assist with administrative tasks, including document preparation and shared drive organization. Perform monthly administrative tasks, including credit card reconciliation and membership updates. Support event logistics and communications before and after events. Communicate professionally with members, vendors, and leadership. Strong organizational and communication skills. Ability to manage multiple priorities and deadlines. Comfortable working in a fast-paced environment, especially around event days. High attention to detail and ability to work independently in a remote setting. Professional and responsive communication with members and leadership. Candidate must be comfortable managing a high volume of email, coordinating calendars, and supporting time-sensitive tasks.. Technical Proficiency: Expert knowledge of MS Office Suite (Word, Excel, PowerPoint, Outlook) and a full comprehension of modern office management systems and procedures,
Up-to-date with advancements in office technology, communication platforms, and efficiency-driving applications,
Communication: Exemplary verbal and written communication skills with the ability to draft professional correspondence and interface confidently with internal and external executives,
Time Management: Proven history of superior planning, time management, and execution skills,"
